ID	Choice	Relacao	Age	Male	Income	License	QtdVeic	TripChain	Destino	Frequence	Fds	Quinzenal	Mensal	TTime1_1	Cost_1	WalkTime_1	TTime1_2	Transbordo_2	Cost_2	WalkTime_2
212	2	6	55	0	5000	1	1	0	5	5	0	0	0	0.75	30	6.25	2	1	10	2.5
589	1	7	59	1	20000	1	2	0	8	5	0	0	0	0.5	12	2.5	0.585	0	6	15
595	1	6	26	1	10000	1	1	0	10	5	0	0	0	0.33	8	2.5	0.67	0	11	12.5
596	1	7	61	1	10000	1	1	0	1	2	0	0	0	0.33	20	2.5	0.83	1	6	10
602	1	7	58	0	30000	1	2	0	6	5	0	0	0	0.83	20	70	1	1	8	15
604	1	7	51	0	10000	1	1	0	8	5	0	0	0	0.5	6	30	0.83	0	8	15
606	1	7	44	0	7000	1	1	0	8	4	0	0	0	0.67	8	2.5	1	1	8	15
608	1	7	44	0	12000	1	1	0	8	3	0	0	0	1	8	5	1.67	1	12	10
621	2	6	27	0	14000	1	1	0	8	5	0	0	0	0.5	12	15	0.5	1	8	20
623	1	7	52	1	6000	1	1	0	8	3	0	0	0	0.83	30	2.5	1.17	1	10	15
625	1	7	53	0	16000	1	1	0	1	5	0	0	0	0.5	10	5	1	1	12	20
626	1	7	35	1	10000	1	1	0	8	5	0	0	0	0.33	8	2.5	1	1	10	25
638	1	7	49	1	35000	1	1	0	1	4	0	0	0	0.5	10	2.5	1.67	1	8	20
642	1	6	54	1	20000	1	1	0	8	5	0	0	0	0.5	30	2.5	0.83	0	8	15
643	1	7	52	1	24000	1	1	0	8	5	0	0	0	0.33	30	2.5	0.75	1	8	10
651	1	7	42	0	18000	1	1	0	8	4	0	0	0	0.5	20	2.5	0.83	1	8	15
698	1	7	46	0	22000	1	1	0	9	0	0	1	0	0.83	20	10	1	1	8	15
716	1	7	55	1	35000	1	2	0	9	5	0	0	0	0.83	30	5	0.915	1	10	7.5
741	1	7	25	1	35000	1	2	1	8	3	0	0	0	0.67	16	5	1.5	1	10	10
744	1	7	62	1	20000	1	1	0	8	3	0	0	0	0.5	8	2.5	0.83	0	8	15
746	1	7	55	0	14000	1	1	0	8	5	0	0	0	0.5	12	15	0.67	1	8	10
747	1	7	37	0	7000	1	1	0	11	2	1	0	0	0.83	10	5	1	1	8	10
764	1	7	37	0	14000	1	1	0	8	5	0	0	0	0.5	30	5	1.67	1	8	20
765	1	7	64	0	14000	1	2	0	8	5	0	0	0	0.5	8	2.5	0.83	0	8	20
783	1	7	58	0	12000	1	1	0	8	5	0	0	0	0.33	4	5	1.33	1	8	20
790	1	7	63	1	35000	1	1	0	8	5	0	0	0	0.33	20	5	0.67	0	8	15
824	1	7	51	1	22000	1	4	0	8	5	0	0	0	0.33	10	5	1.17	1	8	5
