ID	Choice	Relacao	Age	Male	Income	License	QtdVeic	TripChain	Destino	Frequence	Fds	Quinzenal	Mensal	TTime1_1	Cost_1	WalkTime_1	TTime1_2	Transbordo_2	Cost_2	WalkTime_2
1	2	5	24	1	4000	1	1	0	6	5	0	0	0	0.33	10	2.5	1.17	1	8	25
8	1	4	49	1	7000	1	2	0	6	5	0	0	0	0.33	6	2.5	0.67	1	8	15
9	2	4	30	0	5000	1	1	0	6	5	0	0	0	0.585	30	5	1	1	6	15
492	2	4	52	0	6000	1	2	0	6	5	0	0	0	0.33	10	2.5	1	0	10	15
515	2	4	27	1	9000	1	1	0	6	5	0	0	0	0.5	10	5	0.83	1	8	15
627	1	4	31	1	9000	1	1	0	8	5	0	0	0	0.33	8	2.5	0.83	0	8	15
633	2	4	50	0	26000	1	1	0	8	5	0	0	0	0.5	10	5	1.33	0	8	25
647	1	4	33	0	10000	1	2	0	8	5	0	0	0	0.33	10	70	1	1	8	25
657	2	3	31	1	7000	1	1	0	3	5	0	0	0	0.915	18	2.5	1	0	10	20
664	2	4	38	0	5000	1	1	0	2	5	0	0	0	0.915	20	5	2.17	1	12	5
665	2	4	39	1	6000	1	1	0	2	5	0	0	0	0.5	10	3.75	1.33	1	14	15
678	1	3	25	1	20000	1	2	0	8	0	0	0	1	0.5	10	5	1.085	1	8	15
682	1	5	27	1	9000	1	1	0	10	5	0	0	0	0.5	8	2.5	1.915	1	15	10
684	1	5	27	1	7000	1	1	0	10	5	1	0	0	1.17	30	2.5	1.17	1	10	15
685	2	5	26	1	6000	1	1	0	10	5	0	0	0	0.915	25	5	1.17	1	10	15
692	2	4	51	0	16000	1	1	0	6	0	0	1	0	0.67	10	5	2	1	8	10
702	1	4	54	0	30000	1	2	0	6	5	0	0	0	0.33	14	5	1	1	8	25
730	1	4	60	0	20000	1	1	0	6	5	0	0	0	0.83	12	5	1	1	8	10
732	1	3	25	1	10000	1	3	1	8	5	0	0	0	0.33	8	5	0.75	1	12	12.5
752	1	4	50	0	8000	1	1	0	7	5	0	0	0	0.5	16	5	0.67	1	8	10
762	2	4	32	0	5000	1	1	0	9	5	0	0	0	0.5	10	3.75	0.83	1	8	5
819	2	4	28	1	7000	1	1	0	2	5	0	0	0	0.67	17	6.25	0.5	0	8	45
872	1	5	23	1	5000	1	1	1	10	5	0	0	0	0.33	12	60	0.33	0	8	5
1046	2	4	53	1	10000	1	2	1	6	5	0	0	0	0.5	14	3.75	0.83	1	16	15
1063	1	3	28	1	10000	1	2	1	8	0	0	0	1	1	30	5	1.415	1	11	15
1135	2	4	58	0	10000	1	1	0	2	5	0	0	0	0.915	20	5	1.5	1	12	2.5
1202	1	3	22	1	10000	1	2	1	5	3	0	0	0	0.5	14	10	1.17	1	10	15
1506	1	4	24	1	5000	1	1	0	8	5	1	0	0	1	14	2.5	1.33	1	12	20
1680	1	4	55	1	16000	1	1	0	1	5	0	0	0	0.5	18	15	1.25	1	8	17.5
1750	1	4	32	1	35000	1	2	1	9	2	0	0	0	0.5	30	10	1.17	1	10	15
1767	1	3	30	1	5000	1	1	0	8	0	1	0	0	0.33	8	5	0.83	1	8	2.5
1987	1	4	35	0	20000	1	2	0	9	3	0	0	0	0.33	12	40	1.67	1	8	20
2112	1	4	54	0	35000	1	3	0	6	5	0	0	0	0.83	30	5	1.17	1	10	15
2138	1	5	31	1	10000	1	1	0	9	5	1	0	0	1.17	30	2.5	1.67	1	12	10
2166	2	4	30	0	10000	1	1	0	8	5	0	0	0	1	20	2.5	1.5	1	12	20
2356	1	4	38	1	12000	1	1	0	2	5	0	0	0	0.67	18	2.5	1	1	8	10
2791	1	4	33	0	12000	1	1	0	11	2	1	0	0	0.33	20	2.5	0.83	0	8	15
3027	1	5	51	1	10000	1	1	0	11	5	0	0	0	0.33	16	2.5	1	1	8	10
3037	2	3	24	1	22000	1	1	1	8	5	0	0	0	0.5	10	2.5	0.67	0	8	15
3122	1	4	31	0	10000	1	1	0	11	5	0	0	0	0.17	6	2.5	0.83	1	10	10
3135	1	3	49	0	12000	1	1	1	2	2	0	0	0	0.67	12	10	0.83	0	8	15
3137	1	4	55	1	5000	1	1	0	2	5	0	0	0	0.83	18	2.5	1.67	1	12	10
3141	1	4	52	0	7000	1	1	0	10	5	1	0	0	0.67	12	2.5	1	1	8	10
3153	1	4	44	1	4000	1	1	0	11	5	0	0	0	1	12	5	1.67	1	12	10
3170	1	4	50	1	10000	1	2	0	6	5	0	0	0	1	30	2.5	1.67	1	12	10
3179	1	5	25	1	3000	1	2	0	3	5	0	0	0	0.5	30	10	0.67	0	11	12.5
3222	1	5	29	0	6000	1	3	0	8	5	0	0	0	0.33	6	2.5	0.75	1	8	10
3256	1	4	54	0	9000	1	3	1	8	5	0	0	0	0.5	18	5	1.5	1	10	15
3262	1	5	26	1	4000	1	3	1	10	5	1	0	0	0.5	20	5	0.915	1	11	12.5
3385	1	4	32	0	5000	1	1	0	2	5	0	0	0	0.5	14	10	1	1	8	25
3584	2	4	40	0	10000	1	1	0	1	5	0	0	0	0.5	12	10	1.17	1	12	15
3639	2	4	42	0	12000	1	1	0	8	5	0	0	0	0.585	30	5	1.67	1	8	10
3641	1	4	33	0	5000	1	2	0	8	5	0	0	0	0.5	12	5	1.17	1	8	10
3657	2	3	25	0	10000	1	1	1	8	5	0	0	0	0.5	10	3.75	1.5	1	8	30
3663	2	3	23	0	9000	1	2	0	6	1	0	0	0	0.5	10	5	0.67	0	8	35
3694	2	4	39	0	5000	1	1	1	8	5	0	0	0	0.5	15	6.25	0.83	1	8	20
3733	2	4	28	0	8000	1	1	0	11	5	0	0	0	0.33	10	2.5	0.5	0	8	15
3741	1	5	61	1	5000	1	1	0	8	5	0	0	0	0.17	4	60	0.33	1	14	2.5
3773	2	4	55	0	12000	1	1	0	1	5	0	0	0	0.67	20	10	0.67	0	8	10
3780	1	3	36	1	18000	1	1	0	8	0	0	0	1	0.33	10	2.5	1	1	8	10
3808	1	3	30	0	30000	1	2	0	9	5	0	0	0	0.5	14	2.5	0.585	0	6	15
3883	1	4	38	0	5000	1	1	0	9	4	0	0	0	0.67	20	15	1.67	1	12	10
3914	1	4	26	0	8000	1	2	0	2	5	0	0	0	0.5	10	2.5	0.83	0	10	15
4021	1	4	54	1	6000	1	2	1	11	5	0	0	0	0.33	10	35	0.33	1	14	2.5
4226	2	4	41	1	7000	1	2	0	11	2	0	0	0	0.33	10	5	1	1	6	25
4409	1	4	35	1	20000	1	2	1	9	2	0	0	0	0.67	20	10	0.83	1	6	10
4585	1	4	26	0	24000	1	2	0	6	0	0	0	1	0.67	10	2.5	1.17	1	8	10
4600	2	4	47	0	12000	1	1	0	1	5	0	0	0	0.33	6	2.5	1	0	8	15
4619	1	4	44	1	6000	1	1	0	6	5	0	0	0	0.33	30	5	0.83	0	8	15
4646	1	4	33	0	10000	1	3	0	9	5	0	0	0	1	20	10	1.67	1	12	25
4647	1	4	33	1	5000	1	1	0	8	5	0	0	0	1	14	20	2	1	12	10
4648	1	4	52	0	16000	1	1	0	6	5	0	0	0	0.5	16	10	1	1	8	10
4653	2	4	59	0	20000	1	2	0	8	5	0	0	0	0.83	30	3.75	1	1	6	10
