ID	Choice	Relacao	Age	Male	Income	License	QtdVeic	TripChain	Destino	Frequence	Fds	Quinzenal	Mensal	TTime1_1	Cost_1	WalkTime_1	TTime1_2	Transbordo_2	Cost_2	WalkTime_2
1	2	5	24	1	4000	1	1	0	6	5	0	0	0	0.33	10	2.5	1.17	1	8	25
8	1	4	49	1	7000	1	2	0	6	5	0	0	0	0.33	6	2.5	0.67	1	8	15
9	2	4	30	0	5000	1	1	0	6	5	0	0	0	0.585	30	5	1	1	6	15
33	2	1	20	1	7000	1	2	1	8	5	0	0	0	0.58	12	36.25	1	1	8	30
34	1	1	35	0	3000	1	3	1	6	5	0	0	0	1	20	2.5	1.5	1	14	15
42	1	1	23	1	14000	1	2	0	8	5	0	0	0	1.17	30	2.5	2	1	10	15
44	1	1	23	1	10000	1	2	0	8	5	0	0	0	0.5	12	2.5	1.67	1	8	20
45	2	1	21	0	30000	1	1	0	8	5	0	0	0	0.67	17	6.25	1	1	12	2.5
53	1	1	22	1	5000	1	2	0	1	5	1	0	0	1	30	5	1.67	1	12	10
62	2	1	20	0	1000	1	1	0	1	3	0	0	0	0.5	8	15	1	0	8	20
64	1	1	33	1	7000	1	1	0	3	0	0	0	1	0.5	14	70	0.915	1	11	12.5
71	1	1	22	0	5000	1	3	0	8	4	0	0	0	0.5	8	5	0.915	1	7	7.5
73	2	1	21	0	1000	1	1	0	8	5	0	0	0	1	20	2.5	2	1	12	5
74	2	1	21	1	5000	1	1	0	8	5	0	0	0	0.75	20	5	2.5	1	6	20
76	2	1	21	0	10000	1	1	1	2	2	0	0	0	0.5	10	5	1	1	4	10
82	2	1	23	0	20000	1	2	0	8	5	0	0	0	0.83	20	5	1.17	1	8	30
83	1	1	22	1	4000	1	2	0	1	5	0	0	0	0.33	8	2.5	1	1	8	10
86	2	1	24	1	35000	1	2	0	8	5	0	0	0	0.67	14	5	0.83	1	16	10
87	2	1	24	0	6000	1	2	1	6	2	0	0	0	0.915	20	5	2	0	14	20
88	1	1	18	0	5000	1	2	0	8	5	0	0	0	0.5	16	2.5	0.83	1	8	15
91	2	1	20	1	8000	1	1	0	8	5	0	0	0	0.915	20	5	1.33	0	12	15
103	2	1	23	0	3000	1	1	0	2	5	0	0	0	0.83	30	3.75	1.5	1	14	30
115	1	1	23	0	8000	1	2	1	8	5	0	0	0	0.33	6	5	1	0	8	15
119	2	1	25	0	7000	1	1	0	9	5	0	0	0	0.33	10	5	0.67	0	8	10
129	2	1	18	1	8000	1	2	0	8	5	0	0	0	0.33	20	2.5	1.33	1	8	20
135	1	1	25	1	20000	1	2	0	8	0	0	0	1	0.5	6	2.5	1.67	1	8	20
139	2	1	20	0	12000	1	1	1	11	5	1	0	0	0.67	12	10	1.5	1	8	30
142	2	1	27	0	3000	1	1	0	6	5	0	0	0	0.5	12	15	1.33	1	8	10
157	2	1	20	0	30000	1	3	0	1	5	0	0	0	0.5	12	5	0.5	0	8	2.5
160	2	1	23	0	8000	1	2	0	2	5	0	0	0	0.915	18	2.5	1.33	1	12	10
166	1	1	20	1	10000	1	2	0	8	5	0	0	0	0.67	30	5	0.83	1	8	15
167	2	1	33	1	5000	1	1	1	6	5	0	0	0	0.915	25	5	1	1	8	5
178	2	1	22	1	10000	1	1	1	8	5	1	0	0	0.33	10	5	1	1	8	10
186	1	1	23	1	22000	1	3	1	8	4	0	0	0	0.83	30	2.5	1.17	1	10	15
187	1	1	25	0	5000	1	1	1	6	5	0	0	0	0.5	16	10	0.67	1	8	10
207	1	1	33	1	14000	1	1	1	2	2	0	0	0	0.17	14	2.5	1	1	8	10
212	2	6	55	0	5000	1	1	0	5	5	0	0	0	0.75	30	6.25	2	1	10	2.5
223	2	1	21	0	5000	1	1	1	6	5	0	0	0	0.67	12	10	1	1	14	5
228	2	1	22	0	5000	1	1	0	2	5	0	0	0	0.67	19	6.25	1.33	1	6	15
236	2	1	23	0	4000	1	1	0	1	5	0	0	0	0.915	20	5	1.67	1	12	20
237	2	1	18	0	10000	1	1	0	6	5	0	0	0	0.83	20	5	0.67	1	14	5
249	2	1	26	0	5000	1	2	1	6	5	0	0	0	1	30	2.5	2.33	1	14	20
250	2	1	23	0	10000	1	2	1	2	5	0	0	0	0.5	10	3.75	2	1	8	20
270	2	1	22	0	18000	1	2	0	6	4	0	0	0	1	20	2.5	2	1	14	15
274	2	1	21	0	16000	1	1	0	8	4	0	0	0	0.5	10	5	0.83	1	8	25
275	2	1	20	1	35000	1	3	0	1	5	0	0	0	0.67	12	2.5	1.5	1	8	10
279	2	1	20	0	6000	1	2	0	6	5	0	0	0	0.415	10	10	0.83	1	8	5
283	2	1	23	0	2000	1	1	0	8	4	0	0	0	0.75	20	5	1.5	1	2	30
284	1	1	22	1	10000	1	1	0	8	5	0	0	0	0.67	16	2.5	1.33	1	8	20
286	2	1	24	0	4000	1	1	1	6	1	0	0	0	0.5	10	3.75	1	0	8	5
291	1	1	36	1	6000	1	1	1	6	5	0	0	0	0.5	30	5	1	1	8	10
296	1	1	25	1	5000	1	2	0	8	5	0	0	0	0.5	6	10	1.5	1	10	10
299	2	1	24	0	5000	1	1	0	11	5	0	0	0	0.915	20	5	2.5	1	14	15
303	1	1	22	0	12000	1	2	0	2	5	0	0	0	0.33	10	2.5	0.83	1	6	10
306	2	1	21	0	10000	1	1	0	2	5	0	0	0	0.915	20	5	2.5	1	12	30
311	1	1	20	0	20000	1	3	0	2	5	0	0	0	1	16	2.5	1.17	1	10	15
313	2	1	20	1	10000	1	3	0	2	5	0	0	0	0.915	25	5	0.67	1	10	2.5
320	2	1	22	0	7000	1	2	0	2	5	0	0	0	0.5	10	5	1.5	1	12	30
321	2	1	19	1	7000	1	1	0	8	5	0	0	0	0.83	20	5	1.17	1	8	15
327	1	1	24	0	8000	1	2	0	8	5	0	0	0	1.17	10	10	1.415	1	12	15
332	2	1	25	0	35000	1	2	1	6	4	0	0	0	0.5	10	10	1	1	12	35
337	1	1	21	0	18000	1	3	0	2	5	0	0	0	0.83	30	10	1.17	1	10	15
341	2	1	23	1	4000	1	3	1	8	4	0	0	0	0.915	20	5	0.67	1	10	10
348	1	1	21	0	20000	1	3	0	9	5	1	0	0	0.67	16	10	1	1	8	10
362	1	1	22	1	20000	1	3	0	8	5	0	0	0	0.67	10	70	1.33	1	12	20
364	1	1	24	0	9000	1	1	1	8	5	0	0	0	0.67	18	5	1.5	1	10	10
382	2	1	18	1	35000	1	2	0	8	5	0	0	0	0.5	10	5	1	1	14	20
393	2	1	23	1	10000	1	1	0	8	5	0	0	0	0.5	10	5	1	1	6	10
395	1	1	19	0	35000	1	1	0	8	5	0	0	0	0.67	8	10	1.5	1	10	10
400	2	1	21	0	2000	1	1	0	2	4	0	0	0	0.67	15	7.5	1.33	1	12	25
403	1	1	22	1	9000	1	3	1	2	5	0	0	0	0.33	20	2.5	1.165	1	8	15
409	2	1	20	0	5000	1	1	0	1	5	1	0	0	0.67	15	7.5	1.33	1	12	25
429	2	1	25	1	10000	1	2	1	11	5	0	0	0	0.33	10	2.5	1.5	0	10	5
435	2	1	53	1	6000	1	1	1	1	5	0	0	0	0.75	9	5	1.33	1	10	20
442	2	1	19	0	10000	1	1	0	11	5	0	0	0	0.67	14	2.5	0.33	0	8	50
454	2	1	19	1	7000	1	2	0	8	5	1	0	0	0.75	30	6.25	2	1	8	10
460	1	1	27	0	35000	1	4	1	6	2	0	0	0	0.33	20	2.5	0.75	1	9	17.5
464	2	1	25	1	10000	1	2	0	8	5	0	0	0	0.5	15	5	0.67	0	8	15
468	2	1	30	1	2000	1	1	1	6	5	0	0	0	0.33	10	5	1.5	1	10	15
472	1	2	28	1	12000	1	1	0	8	1	0	0	0	0.67	8	5	0.585	0	6	15
474	2	1	22	1	2000	1	1	0	8	5	1	0	0	0.5	8	15	1	1	6	15
492	2	4	52	0	6000	1	2	0	6	5	0	0	0	0.33	10	2.5	1	0	10	15
493	1	1	20	0	10000	1	1	0	8	5	0	0	0	0.67	4	15	1	1	8	15
503	1	1	27	0	5000	1	1	0	8	5	0	0	0	0.5	12	20	1	1	12	10
515	2	4	27	1	9000	1	1	0	6	5	0	0	0	0.5	10	5	0.83	1	8	15
516	2	1	21	0	8000	1	1	0	8	5	0	0	0	0.33	10	5	0.83	1	8	2.5
520	2	1	42	1	4000	1	1	0	6	3	0	0	0	0.33	12	2.5	1	1	8	2.5
527	2	1	19	0	9000	1	1	1	8	4	0	0	0	0.585	30	5	0.83	1	6	10
528	2	1	23	1	7000	1	1	0	2	5	0	0	0	0.915	20	5	1.67	0	6	10
529	2	1	20	0	20000	1	2	0	2	5	0	0	0	0.67	19	6.25	1	0	6	25
537	1	1	20	0	4000	1	1	0	8	5	0	0	0	0.67	8	10	1.17	1	8	25
538	2	1	23	0	4000	1	1	0	2	5	0	0	0	0.5	10	5	1	1	8	10
541	2	1	20	0	10000	1	1	0	2	2	0	0	0	0.67	16	2.5	1.67	1	16	15
542	2	1	20	0	10000	1	4	0	6	2	1	0	0	0.5	10	10	1	0	8	15
568	2	1	25	1	3000	1	1	1	6	5	0	0	0	0.67	15	7.5	1.5	1	16	30
571	2	1	19	0	10000	1	1	0	6	5	0	0	0	0.33	10	2.5	0.67	1	12	15
573	2	1	22	0	4000	1	2	0	2	5	0	0	0	0.33	12	2.5	1.33	1	8	20
577	2	1	21	0	4000	1	1	0	2	5	0	0	0	0.33	10	5	0.83	0	8	20
582	2	1	23	1	3000	1	1	1	1	5	0	0	0	0.5	12	20	1	1	12	10
589	1	7	59	1	20000	1	2	0	8	5	0	0	0	0.5	12	2.5	0.585	0	6	15
595	1	6	26	1	10000	1	1	0	10	5	0	0	0	0.33	8	2.5	0.67	0	11	12.5
596	1	7	61	1	10000	1	1	0	1	2	0	0	0	0.33	20	2.5	0.83	1	6	10
602	1	7	58	0	30000	1	2	0	6	5	0	0	0	0.83	20	70	1	1	8	15
604	1	7	51	0	10000	1	1	0	8	5	0	0	0	0.5	6	30	0.83	0	8	15
606	1	7	44	0	7000	1	1	0	8	4	0	0	0	0.67	8	2.5	1	1	8	15
608	1	7	44	0	12000	1	1	0	8	3	0	0	0	1	8	5	1.67	1	12	10
609	1	2	27	0	14000	1	1	0	8	5	0	0	0	0.5	20	2.5	1.17	1	8	2.5
