ID	Choice	Relacao	Age	D_Senior	D_Male	Income	D_Wealth	License	QtdVeic	D_Veic	D_TripChain	Destino	D1_CT	D2_EDU	Acess_PNT	Frequence	D1_Turista	D2_Assiduo	D_Fds	D_Quinzenal	D_Mensal	Distance_1	TTime1_1	Cost_1	Distance_2	TTime1_2	Cost_2
32	2	1	23	0	0	1000	0	1	1	0	0	10	0	0	0.69	5	0	1	0	0	0	18	0.42	6.01	19.1	1.38	10.8
33	2	1	20	0	1	7000	0	1	2	1	1	8	1	0	0.85	5	0	1	0	0	0	7.4	0.17	2.47	9.2	0.97	12.8
34	1	1	35	0	0	3000	0	1	3	1	1	6	0	1	0	5	0	1	0	0	0	26.2	0.52	8.75	31.4	1.42	7
42	1	1	23	0	1	14000	1	1	2	1	0	8	1	0	0	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
44	1	1	23	0	1	10000	1	1	2	1	0	8	1	0	0	5	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
45	2	1	21	0	0	30000	1	1	1	0	0	8	1	0	1	5	0	1	0	0	0	12.4	0.4	4.14	14.82	1.58	3.8
53	1	1	22	0	1	5000	0	1	2	1	0	1	0	1	0	5	0	1	1	0	0	18.5	0.32	6.18	21.1	1.7	6.7
62	2	1	20	0	0	1000	0	1	1	0	0	1	0	1	1	3	0	0	0	0	0	11.4	0.3	3.81	13.3	1.28	3.8
64	1	1	33	0	1	7000	0	1	1	0	0	3	0	0	0.72	0	1	0	0	0	1	12.4	0.25	4.14	21.1	1.37	10.7
66	2	1	24	0	0	4000	0	1	2	1	0	2	0	1	0.28	4	0	1	0	0	0	17	0.43	5.68	20.2	1.32	7
67	2	1	23	0	0	1000	0	1	3	1	0	8	1	0	0.27	4	0	1	0	0	0	27.5	0.53	9.19	37.1	1.7	10.7
71	1	1	22	0	0	5000	0	1	3	1	0	8	1	0	1	4	0	1	0	0	0	11.9	0.32	3.97	14.6	1.45	16.6
73	2	1	21	0	0	1000	0	1	1	0	0	8	1	0	0	5	0	1	0	0	0	26.2	0.52	8.75	31.4	1.42	7
74	2	1	21	0	1	5000	0	1	1	0	0	8	1	0	0.18	5	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
76	2	1	21	0	0	10000	1	1	1	0	1	2	0	1	0.37	2	1	0	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
78	1	1	23	0	0	30000	1	1	4	1	0	8	1	0	0	5	0	1	0	0	0	36	0.63	12.02	38.4	3.57	29.9
82	2	1	23	0	0	20000	1	1	2	1	0	8	1	0	0.1	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
83	1	1	22	0	1	4000	0	1	2	1	0	1	0	1	1	5	0	1	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
86	2	1	24	0	1	35000	1	1	2	1	0	8	1	0	0.32	5	0	1	0	0	0	14.3	0.42	4.78	18.74	1.38	3.8
87	2	1	24	0	0	6000	0	1	2	1	1	6	0	1	0	2	1	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
88	1	1	18	0	0	5000	0	1	2	1	0	8	1	0	0.78	5	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
91	2	1	20	0	1	8000	1	1	1	0	0	8	1	0	0	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
103	2	1	23	0	0	3000	0	1	1	0	0	2	0	1	0.43	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
115	1	1	23	0	0	8000	1	1	2	1	1	8	1	0	1	5	0	1	0	0	0	10.7	0.28	3.57	12.4	1.22	18.7
119	2	1	25	0	0	7000	0	1	1	0	0	9	0	0	1	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
129	2	1	18	0	1	8000	1	1	2	1	0	8	1	0	1	5	0	1	0	0	0	15.3	0.35	5.11	17	1.58	3.8
135	1	1	25	0	1	20000	1	1	2	1	0	8	1	0	0	0	1	0	0	0	1	15.9	0.35	5.31	21.8	1.87	3.8
139	2	1	20	0	0	12000	1	1	1	0	1	11	0	0	0.59	5	0	1	1	0	0	14.7	0.33	4.91	12.3	1.25	3.8
142	2	1	27	0	0	3000	0	1	1	0	0	6	0	1	1	5	0	1	0	0	0	11.4	0.3	3.81	14	1.32	22.7
149	2	1	19	0	0	4000	0	1	1	0	0	6	0	1	0.39	5	0	1	0	0	0	31.2	0.58	10.42	41.1	1.88	10.7
154	2	1	24	0	1	3000	0	1	2	1	0	2	0	1	0	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
157	2	1	20	0	0	30000	1	1	3	1	0	1	0	1	0.73	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
160	2	1	23	0	0	8000	1	1	2	1	0	2	0	1	0	5	0	1	0	0	0	31.7	0.57	10.59	46.2	2.23	10.7
