ID	Choice	Relacao	Age	D_Senior	D_Male	Income	D_Wealth	License	QtdVeic	D_Veic	D_TripChain	Destino	D1_CT	D2_EDU	Frequence	D1_Turista	D2_Assiduo	D_Fds	D_Quinzenal	D_Mensal	Distance_1	TTime1_1	Cost_1	Distance_2	TTime1_2	Cost_2
212	2	6	55	1	0	5000	0	1	1	0	0	5	0	0	5	0	1	0	0	0	27	0.48	9.02	27.5	2.35	3.8
589	1	7	59	1	1	20000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	14.9	0.32	4.98	17.6	1.72	3.8
595	1	6	26	0	1	10000	1	1	1	0	0	10	0	0	5	0	1	0	0	0	9.3	0.23	3.11	9.8	1.02	3.8
596	1	7	61	1	1	10000	1	1	1	0	0	1	0	1	2	1	0	0	0	0	14.2	0.27	4.74	19	1.58	3.8
601	1	7	44	0	1	14000	1	1	2	1	0	2	0	1	5	0	1	0	0	0	20.4	0.45	6.81	22.2	1.9	3.8
602	1	7	58	1	0	30000	1	1	2	1	0	6	0	1	5	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
604	1	7	51	1	0	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
606	1	7	44	0	0	7000	0	1	1	0	0	8	1	0	4	0	1	0	0	0	17.9	0.4	5.98	28.1	1.78	3.8
608	1	7	44	0	0	12000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
621	2	6	27	0	0	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	11.4	0.3	3.81	14	1.32	22.7
623	1	7	52	1	1	6000	0	1	1	0	0	8	1	0	3	0	0	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
625	1	7	53	1	0	16000	1	1	1	0	0	1	0	1	5	0	1	0	0	0	14.2	0.33	4.74	16.26	1.45	3.8
626	1	7	35	0	1	10000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	12.6	0.27	4.21	12.5	1.17	3.8
635	1	7	30	0	0	6000	0	1	2	1	0	8	1	0	5	0	1	0	0	0	43.6	0.78	14.56	42.7	2	7
638	1	7	49	1	1	35000	1	1	1	0	0	1	0	1	4	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
642	1	6	54	1	1	20000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
643	1	7	52	1	1	24000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	9.9	0.23	3.31	11.96	1.1	3.8
651	1	7	42	0	0	18000	1	1	1	0	0	8	1	0	4	0	1	0	0	0	20.4	0.4	6.81	20	1.77	9.3
698	1	7	46	1	0	22000	1	1	1	0	0	9	0	0	0	1	0	0	1	0	17.9	0.4	5.98	28.1	1.78	3.8
716	1	7	55	1	1	35000	1	1	2	1	0	9	0	0	5	0	1	0	0	0	22.8	0.45	7.62	22.7	2.08	10.5
736	1	7	58	1	1	18000	1	1	2	1	0	6	0	1	5	0	1	0	0	0	18.5	0.32	6.18	21.1	1.7	6.7
737	1	7	57	1	1	35000	1	1	2	1	1	9	0	0	4	0	1	0	0	0	18.1	0.37	6.05	18.7	1.8	3.8
741	1	7	25	0	1	35000	1	1	2	1	1	8	1	0	3	0	0	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
744	1	7	62	1	1	20000	1	1	1	0	0	8	1	0	3	0	0	0	0	0	14.2	0.33	4.74	15.9	1.38	3.8
746	1	7	55	1	0	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	9.1	0.2	3.04	11	1.1	16.6
747	1	7	37	0	0	7000	0	1	1	0	0	11	0	0	2	1	0	1	0	0	13.5	0.4	4.51	16.4	1.63	3.8
764	1	7	37	0	0	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	15.9	0.35	5.31	21.8	1.87	3.8
765	1	7	64	1	0	14000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	18.2	0.45	6.08	20.1	1.72	3.8
783	1	7	58	1	0	12000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.9	0.42	5.98	22.34	1.9	3.8
790	1	7	63	1	1	35000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	16.2	0.38	5.41	17.3	1.45	3.8
824	1	7	51	1	1	22000	1	1	4	1	0	8	1	0	5	0	1	0	0	0	12.1	0.25	4.04	14.4	1.02	7
836	1	7	64	1	1	20000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	17.6	0.4	5.88	23.71	2.02	3.8
899	1	7	39	0	0	8000	1	1	1	0	0	1	0	1	5	0	1	0	0	0	14.2	0.27	4.74	19	1.58	3.8
904	1	7	40	0	1	14000	1	1	1	0	0	8	1	0	5	0	1	0	0	0	27.4	0.45	9.15	27.17	2.25	12.1
1006	1	6	38	0	1	18000	1	1	1	0	0	8	1	0	1	1	0	0	0	0	13.1	0.38	4.38	14.7	1.33	3.8
1010	1	7	33	0	1	22000	1	1	2	1	0	8	1	0	5	0	1	0	0	0	10.7	0.28	3.57	12.4	1.22	18.7
